artist.id,artist.name,id
7n2Ycct7Beij7Dj7meI4X0,TWICE,0Ll92eLIHWY5gey1ISNMPi
3ao3jf5d70Tf4fPh2bnXVl,We The Kings,0wVluBsVAVzBKrqspuCcwR
5INjqkS1o8h1imAzPqGZBb,Tame Impala,0xtIp0lgccN85GfGOekS5L
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,1oZX407PWkU5ETtmRy3zL8
6N6Sk9XOoHsadAGYR44C2o,Vertical Worship,1sF4VadVaVTvp9WTEy79JT
4iVhFmG8YCCEHANGeUUS9q,Pretty Lights,2M6tHJVrNXZta3Hsjbi70z
4qBgvVog0wzW75IQ48mU7v,KYLE,2XeMW0BNHdAbXVRZ3C1D09
5bgfj5zUoWpyeVatGDjn6H,K CAMP,2XeMW0BNHdAbXVRZ3C1D09
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,2XeMW0BNHdAbXVRZ3C1D09
0un6YenPxWZ2VW4aFGMupM,Floetry,2fE4MbwX3QGMzNaMjGVhtw
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,3BQHpFgAp4l80e1XslIjNI
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,3RFT4wk8sMnr5XhkxYJrW2
3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,3gwfEBrFpzEFCZMjw7mqxA
3ScY9CQxNLQei8Umvpx5g6,Fat Joe,49npsHkkRrF42IxwU10Egt
4kYSro6naA4h99UJvo89HB,Cardi B,49npsHkkRrF42IxwU10Egt
2R21vXR83lH98kGeO99Y66,Anuel AA,49npsHkkRrF42IxwU10Egt
2YKqI0pz6dY15GpzxT66HD,Dre,49npsHkkRrF42IxwU10Egt
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,59JWp4PjZ9TRM8cmtaDYB1
1URnnhqYAYcrqrcwql10ft,21 Savage,59JWp4PjZ9TRM8cmtaDYB1
5INjqkS1o8h1imAzPqGZBb,Tame Impala,5JWPUEov2wlX7c0jhYZpeB
1GAS0rb4L8VTPvizAx2O9J,Atmosphere,61OMCRdMORzZKZ5ury05iG
6ioOEWNNGK40H8xrGj6XPW,XYLØ,6UVZo6UKUZC1J2KPP3IIwQ
45TgXXqMDdF8BkjA83OM7z,Rod Wave,6io9woJ01vofuTd0vwZ8Wk
5vngPClqofybhPERIqQMYd,George Strait,6iy4PoAuZBMvtrlDX4VxC7
5f7VJjfbwm532GiveGC0ZK,Lil Baby,6vN77lE9LK6HP2DewaN6HZ
3TVXtAsR1Inumwj472S9r4,Drake,6vN77lE9LK6HP2DewaN6HZ
4qBgvVog0wzW75IQ48mU7v,KYLE,6yabm1u0I1Xx5eYdpHnVGL
5bgfj5zUoWpyeVatGDjn6H,K CAMP,6yabm1u0I1Xx5eYdpHnVGL
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,6yabm1u0I1Xx5eYdpHnVGL
4uN3DsfENc7dp0OLO0FEIb,Sugar Ray,02TQFXm2cV6uwOr2OmlYBC
2S9W9aSAd7e5mp8WqWxN2h,Hilary Duff,0J1Wfjo9H3R62yaCuuNDZX
3sgFRtyBnxXD5ESfmbK4dl,LMFAO,0Rdfu7NQubmGmYz90usRCU
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,0l2p5mDOP3czJ2FpD6zWie
7qRll6DYV06u2VuRPAVqug,Foxes,0l2p5mDOP3czJ2FpD6zWie
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,1JBa9B1iA4yNVpJ5wVGrZH
5jZeLexrrwGNUy6nv7tzdr,C4C,1oqYVpmmliXObp0cCdZwFx
1uJZwuCV2hXbQDSdJvj198,kokoro,1oqYVpmmliXObp0cCdZwFx
7yeFtlSbnbjTI4yIX9PgOI,Dr. Sus,20NJIEby1O744SjZAFdBBZ
7oEF9V4CBA1f8ft68uHbPu,Tiko,20NJIEby1O744SjZAFdBBZ
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2SJf7W18D1AEpr8L9ATu0c
5PmZd7YOaUgQwhOja44fmZ,Barbara Mason,2gZpW5pTZkimGG98loFSl2
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,2x5YzKRX3a6bLqjWJyufaD
3hcs9uc56yIGFCSy9leWe7,Lil Durk,2x5YzKRX3a6bLqjWJyufaD
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,3XtkcPHbYX0BImTQLlbSVN
1eEfMU2AhEo7XnKgL7c304,Carpenters,3wM6RTAnF7IQpMFd7b9ZcL
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4E5rL7YL0hVUPqeMSpjEF2
